learning_rate,warmup_steps,weight_decay,Accuracy,eval_accuracy,eval_precision,eval_recall,eval_f1
4.577757437362035e-05,500,0.10619627249955625,0.6233333333333333,0.6533333333333333,0.6646803657497937,0.6533333333333333,0.6480665077947954
2.2144640239676708e-05,0,0.06083078592632591,0.6266666666666667,0.65,0.6640598486078116,0.65,0.6506268474393949
2.470754398599587e-05,250,0.053009100368094315,0.6333333333333333,0.6433333333333333,0.6639887679515276,0.6433333333333333,0.6448492082077981
4.818391002536474e-05,500,0.06091553913896053,0.6633333333333333,0.66,0.6639506172839506,0.66,0.6520620700687889
4.8679818355983916e-05,0,0.18939119063540905,0.6533333333333333,0.6466666666666666,0.6470851754672132,0.6466666666666666,0.6467957576877469
4.460018833245212e-05,0,0.2689787155411944,0.64,0.65,0.6524681802545579,0.65,0.6476175476175476
4.522018925851434e-05,500,0.15949580417095224,0.6166666666666667,0.65,0.6608706108706109,0.6499999999999999,0.645358015787154
4.640485737543027e-05,500,0.08933105064626091,0.6233333333333333,0.6533333333333333,0.6646803657497937,0.6533333333333333,0.6480665077947954
3.156539660696495e-05,250,0.16560304727451178,0.6266666666666667,0.6333333333333333,0.6541747680245332,0.6333333333333333,0.6346804353770299
2.4885912441225064e-05,250,0.016356681464129195,0.6366666666666667,0.6433333333333333,0.662316320289051,0.6433333333333334,0.6449014734764923
1.2210362510371507e-05,500,0.22956618827725875,0.6466666666666666,0.6666666666666666,0.6819628510165595,0.6666666666666666,0.6627707610758459
3.8238133157320465e-05,0,0.2189906906253172,0.5933333333333334,0.6433333333333333,0.655219421101774,0.6433333333333332,0.6366237666237666
4.994548924843489e-05,0,0.13350673440609054,0.6333333333333333,0.64,0.6402126149731161,0.64,0.6375694109126027
3.760997711271776e-05,500,0.206483270600889,0.6566666666666666,0.6633333333333333,0.6706403508771931,0.6633333333333332,0.6609116809116808
3.909404826698215e-05,500,0.27632439421709754,0.6433333333333333,0.66,0.667687254818954,0.66,0.6572299194266279
3.136963887425355e-05,500,0.01081808738376825,0.6333333333333333,0.6466666666666666,0.6659727711901625,0.6466666666666666,0.6500258397932817
3.806204114490964e-05,500,0.22069975061316643,0.65,0.6633333333333333,0.6709205786333445,0.6633333333333332,0.6607882492473314
4.098741284716966e-05,500,0.1332683755246971,0.6433333333333333,0.66,0.6691194881068299,0.66,0.6567174542536564
3.2960949798517284e-05,500,0.0960676910766462,0.6633333333333333,0.6533333333333333,0.6591897927555902,0.6533333333333333,0.6526471454720685
